Algorithm,Function,Instance,Dimension,ERT,min_ERT,RELERT
BIPOP-aCMA-STEP_loshchilov_noiseless,1,3,10,336.72727272727275,104.0,3.237762237762238
BIPOP-aCMA-STEP_loshchilov_noiseless,1,4,2,59.3,57.5,1.0313043478260868
BIPOP-aCMA-STEP_loshchilov_noiseless,1,4,3,93.54545454545455,72.66666666666667,1.287322768974145
BIPOP-aCMA-STEP_loshchilov_noiseless,1,4,5,162.66666666666666,76.66666666666667,2.1217391304347823
BIPOP-aCMA-STEP_loshchilov_noiseless,1,4,10,337.45454545454544,104.0,3.2447552447552446
BIPOP-aCMA-STEP_loshchilov_noiseless,1,5,2,66.14285714285714,57.5,1.150310559006211
BIPOP-aCMA-STEP_loshchilov_noiseless,1,5,3,104.75,72.66666666666667,1.44151376146789
BIPOP-aCMA-STEP_loshchilov_noiseless,1,5,5,167.6,76.66666666666667,2.186086956521739
BIPOP-aCMA-STEP_loshchilov_noiseless,1,5,10,339.0,104.0,3.2596153846153846
BIPOP-aCMA-STEP_loshchilov_noiseless,2,1,2,150.0,109.11111111111111,1.374745417515275
BIPOP-aCMA-STEP_loshchilov_noiseless,2,1,3,257.8,162.6875,1.584633115635805
BIPOP-aCMA-STEP_loshchilov_noiseless,2,1,5,330.0,209.21428571428572,1.5773301468077843
BIPOP-aCMA-STEP_loshchilov_noiseless,2,1,10,765.5714285714286,524.5384615384615,1.4595143820836738
BIPOP-aCMA-STEP_loshchilov_noiseless,2,2,2,141.28571428571428,109.11111111111111,1.2948792551643875
BIPOP-aCMA-STEP_loshchilov_noiseless,2,2,3,231.8,162.6875,1.4248175182481753
BIPOP-aCMA-STEP_loshchilov_noiseless,2,2,5,368.7142857142857,209.21428571428572,1.7623762376237624
BIPOP-aCMA-STEP_loshchilov_noiseless,2,2,10,605.1818181818181,524.5384615384615,1.1537415510138782
BIPOP-aCMA-STEP_loshchilov_noiseless,2,3,2,179.0,109.11111111111111,1.640529531568228
BIPOP-aCMA-STEP_loshchilov_noiseless,2,3,3,265.75,162.6875,1.6334998079139456
BIPOP-aCMA-STEP_loshchilov_noiseless,2,3,5,373.0,209.21428571428572,1.782861044725162
BIPOP-aCMA-STEP_loshchilov_noiseless,2,3,10,586.4545454545455,524.5384615384615,1.1180391686330975
BIPOP-aCMA-STEP_loshchilov_noiseless,2,4,2,121.66666666666667,109.11111111111111,1.115071283095723
BIPOP-aCMA-STEP_loshchilov_noiseless,2,4,3,201.8,162.6875,1.2404149058778333
BIPOP-aCMA-STEP_loshchilov_noiseless,2,4,5,367.7142857142857,209.21428571428572,1.7575964493001024
BIPOP-aCMA-STEP_loshchilov_noiseless,2,4,10,945.6,524.5384615384615,1.8027276726792785
BIPOP-aCMA-STEP_loshchilov_noiseless,2,5,2,164.83333333333334,109.11111111111111,1.5106924643584523
BIPOP-aCMA-STEP_loshchilov_noiseless,2,5,3,217.0,162.6875,1.3338455628121397
BIPOP-aCMA-STEP_loshchilov_noiseless,2,5,5,408.1666666666667,209.21428571428572,1.9509502674405372
BIPOP-aCMA-STEP_loshchilov_noiseless,2,5,10,689.0909090909091,524.5384615384615,1.3137090215840765
BIPOP-aCMA-STEP_loshchilov_noiseless,3,1,2,292.3333333333333,233.5,1.2519628836545325
BIPOP-aCMA-STEP_loshchilov_noiseless,3,1,3,601.6666666666666,413.0769230769231,1.456548727498448
BIPOP-aCMA-STEP_loshchilov_noiseless,3,1,5,1347.75,734.4285714285714,1.8351001750632172
BIPOP-aCMA-STEP_loshchilov_noiseless,3,1,10,2968.5,1869.25,1.5880700815835227
BIPOP-aCMA-STEP_loshchilov_noiseless,3,2,2,233.5,233.5,1.0
BIPOP-aCMA-STEP_loshchilov_noiseless,3,2,3,417.0,413.0769230769231,1.0094972067039105
BIPOP-aCMA-STEP_loshchilov_noiseless,3,2,5,988.8333333333334,734.4285714285714,1.3463982364001816
BIPOP-aCMA-STEP_loshchilov_noiseless,3,2,10,2409.625,1869.25,1.2890865320315634
BIPOP-aCMA-STEP_loshchilov_noiseless,3,3,2,435.2,233.5,1.8638115631691647
BIPOP-aCMA-STEP_loshchilov_noiseless,3,3,3,701.4285714285714,413.0769230769231,1.6980579941473797
BIPOP-aCMA-STEP_loshchilov_noiseless,3,3,5,1193.0,734.4285714285714,1.6243921416066913
BIPOP-aCMA-STEP_loshchilov_noiseless,3,3,10,1869.25,1869.25,1.0
BIPOP-aCMA-STEP_loshchilov_noiseless,3,4,2,450.2,233.5,1.928051391862955
BIPOP-aCMA-STEP_loshchilov_noiseless,3,4,3,794.0,413.0769230769231,1.9221601489757913
BIPOP-aCMA-STEP_loshchilov_noiseless,3,4,5,972.1666666666666,734.4285714285714,1.3237048563833236
BIPOP-aCMA-STEP_loshchilov_noiseless,3,4,10,2493.0,1869.25,1.3336899826133477
BIPOP-aCMA-STEP_loshchilov_noiseless,3,5,2,378.6,233.5,1.6214132762312634
BIPOP-aCMA-STEP_loshchilov_noiseless,3,5,3,451.0,413.0769230769231,1.091806331471136
BIPOP-aCMA-STEP_loshchilov_noiseless,3,5,5,734.4285714285714,734.4285714285714,1.0
BIPOP-aCMA-STEP_loshchilov_noiseless,3,5,10,2297.375,1869.25,1.2290357095091615
BIPOP-aCMA-STEP_loshchilov_noiseless,4,1,2,775.1666666666666,155.0,5.001075268817204
BIPOP-aCMA-STEP_loshchilov_noiseless,4,1,3,2236.5,1604.0666666666666,1.3942687336353436
BIPOP-aCMA-STEP_loshchilov_noiseless,4,1,5,3494.625,3494.625,1.0
BIPOP-aCMA-STEP_loshchilov_noiseless,4,1,10,8216.333333333334,7937.846153846154,1.035083469002765
BIPOP-aCMA-STEP_loshchilov_noiseless,4,2,2,861.4,155.0,5.55741935483871
BIPOP-aCMA-STEP_loshchilov_noiseless,4,2,3,inf,1604.0666666666666,1000000.0
BIPOP-aCMA-STEP_loshchilov_noiseless,4,2,5,4328.4,3494.625,1.2385878313123724
BIPOP-aCMA-STEP_loshchilov_noiseless,4,2,10,8276.333333333334,7937.846153846154,1.0426421944853606
BIPOP-aCMA-STEP_loshchilov_noiseless,4,3,2,1166.6,155.0,7.526451612903225
BIPOP-aCMA-STEP_loshchilov_noiseless,4,3,3,2009.0,1604.0666666666666,1.2524417106520926
BIPOP-aCMA-STEP_loshchilov_noiseless,4,3,5,3928.3333333333335,3494.625,1.1241072599587463
BIPOP-aCMA-STEP_loshchilov_noiseless,4,3,10,8123.384615384615,7937.846153846154,1.0233739049538724
BIPOP-aCMA-STEP_loshchilov_noiseless,4,4,2,700.25,155.0,4.517741935483871
BIPOP-aCMA-STEP_loshchilov_noiseless,4,4,3,2564.4,1604.0666666666666,1.5986866713769172
BIPOP-aCMA-STEP_loshchilov_noiseless,4,4,5,4072.777777777778,3494.625,1.1654405773946497
BIPOP-aCMA-STEP_loshchilov_noiseless,4,4,10,8004.25,7937.846153846154,1.0083654740677572
BIPOP-aCMA-STEP_loshchilov_noiseless,4,5,2,702.875,155.0,4.534677419354839
BIPOP-aCMA-STEP_loshchilov_noiseless,4,5,3,1901.75,1604.0666666666666,1.1855803998171315
BIPOP-aCMA-STEP_loshchilov_noiseless,4,5,5,3892.0,3494.625,1.1137103408806381
BIPOP-aCMA-STEP_loshchilov_noiseless,4,5,10,7937.846153846154,7937.846153846154,1.0
BIPOP-aCMA-STEP_loshchilov_noiseless,5,1,2,17.0,3.0,5.666666666666667
BIPOP-aCMA-STEP_loshchilov_noiseless,5,1,3,16.0,11.0,1.4545454545454546
BIPOP-aCMA-STEP_loshchilov_noiseless,5,1,5,32.0,20.0,1.6
BIPOP-aCMA-STEP_loshchilov_noiseless,5,1,10,33.0,30.0,1.1
BIPOP-aCMA-STEP_loshchilov_noiseless,5,2,2,11.0,3.0,3.6666666666666665
BIPOP-aCMA-STEP_loshchilov_noiseless,5,2,3,15.0,11.0,1.3636363636363635
BIPOP-aCMA-STEP_loshchilov_noiseless,5,2,5,22.0,20.0,1.1
BIPOP-aCMA-STEP_loshchilov_noiseless,5,2,10,33.0,30.0,1.1
BIPOP-aCMA-STEP_loshchilov_noiseless,5,3,2,13.0,3.0,4.333333333333333
BIPOP-aCMA-STEP_loshchilov_noiseless,5,3,3,17.0,11.0,1.5454545454545454
BIPOP-aCMA-STEP_loshchilov_noiseless,5,3,5,25.0,20.0,1.25
BIPOP-aCMA-STEP_loshchilov_noiseless,5,3,10,41.0,30.0,1.3666666666666667
